Font_alt_family_name,Font_embedded,Font_encoding,Font_family_name,Font_font_type,Font_italic,Font_monospaced,Font_name,Font_subset,Font_weight,Lang,attributes_LineHeight,attributes_SpaceAfter,attributes_TextAlign,bbox,font_name,font_size,label,level,page,text,x_center,y_center
"Arial,Bold",False,WinAnsiEncoding,"Arial,Bold",TrueType,False,False,"Arial,Bold",False,700,en,14.0,0.0,Center,"[199.86000061035156, 106.07836151123047, 437.190673828125, 119.10208129882812]","Arial,Bold",11.67,title,title,1,Application form for grant of LTC advance,318.5253372192383,112.5902214050293
Tahoma,False,WinAnsiEncoding,Tahoma,TrueType,False,False,Tahoma,False,400,en,11.7,0.0,Left,"[95.99856567382812, 132.9924774169922, 243.4400634765625, 144.7442169189453]",Tahoma,9.74,Body,Body,1,Name of the Government Servant,169.7193145751953,138.86834716796875
Tahoma,False,WinAnsiEncoding,Tahoma,TrueType,False,False,Tahoma-Bold,False,700,en,11.7,0.0,Left,"[70.0199966430664, 135.93528747558594, 82.12254333496094, 147.68702697753906]",Tahoma-Bold,9.74,Body,Body,1,1.,76.07126998901367,141.8111572265625
Tahoma,False,WinAnsiEncoding,Tahoma,TrueType,False,False,Tahoma,False,400,en,11.7,0.0,Left,"[95.99856567382812, 151.0488739013672, 149.32675170898438, 162.8006134033203]",Tahoma,9.74,Body,Body,1,Designation,122.66265869140625,156.92474365234375
Tahoma,False,WinAnsiEncoding,Tahoma,TrueType,False,False,Tahoma-Bold,False,700,en,11.7,0.0,Left,"[70.0199966430664, 154.05015563964844, 82.12254333496094, 165.80189514160156]",Tahoma-Bold,9.74,Body,Body,1,2.,76.07126998901367,159.926025390625
Tahoma,False,WinAnsiEncoding,Tahoma,TrueType,False,False,Tahoma,False,400,en,11.7,0.0,Left,"[95.99856567382812, 169.1637420654297, 296.01995849609375, 180.9154815673828]",Tahoma,9.74,Body,Body,1,Date of entering the Central Government,196.00926208496094,175.03961181640625
Tahoma,False,WinAnsiEncoding,Tahoma,TrueType,False,False,Tahoma-Bold,False,700,en,11.7,0.0,Left,"[70.0199966430664, 180.9252166748047, 82.12254333496094, 192.6769561767578]",Tahoma-Bold,9.74,Body,Body,1,3.,76.07126998901367,186.80108642578125
Tahoma,False,WinAnsiEncoding,Tahoma,TrueType,False,False,Tahoma,False,400,en,11.7,0.0,Left,"[95.99856567382812, 186.74266052246094, 129.7297821044922, 198.49440002441406]",Tahoma,9.74,Body,Body,1,Service,112.86417388916016,192.6185302734375
Tahoma,False,WinAnsiEncoding,Tahoma,TrueType,False,False,Tahoma,False,400,en,11.7,0.0,Left,"[95.99856567382812, 204.8574676513672, 168.8944854736328, 216.6092071533203]",Tahoma,9.74,Body,Body,1,PAY + SI + NPA,132.44652557373047,210.73333740234375
Tahoma,False,WinAnsiEncoding,Tahoma,TrueType,False,False,Tahoma-Bold,False,700,en,11.7,0.0,Left,"[70.0199966430664, 207.80027770996094, 82.12254333496094, 219.55201721191406]",Tahoma-Bold,9.74,Body,Body,1,4.,76.07126998901367,213.6761474609375
Tahoma,False,WinAnsiEncoding,Tahoma,TrueType,False,False,Tahoma,False,400,en,11.7,0.0,Left,"[95.99856567382812, 222.9138641357422, 244.10366821289062, 234.6656036376953]",Tahoma,9.74,Body,Body,1,Whether permanent or temporary,170.05111694335938,228.78973388671875
Tahoma,False,WinAnsiEncoding,Tahoma,TrueType,False,False,Tahoma-Bold,False,700,en,11.7,0.0,Left,"[70.0199966430664, 225.91514587402344, 82.12254333496094, 237.66688537597656]",Tahoma-Bold,9.74,Body,Body,1,5.,76.07126998901367,231.791015625
Tahoma,False,WinAnsiEncoding,Tahoma,TrueType,False,False,Tahoma-Bold,False,700,en,11.7,0.0,Left,"[70.0199966430664, 241.09690856933594, 82.12254333496094, 252.84864807128906]",Tahoma-Bold,9.74,Body,Body,1,6.,76.07126998901367,246.9727783203125
Tahoma,False,WinAnsiEncoding,Tahoma,TrueType,False,False,Tahoma,False,400,en,11.7,0.0,Left,"[95.99856567382812, 241.09690856933594, 289.5272216796875, 252.84864807128906]",Tahoma,9.74,Body,Body,1,Home Town as recorded in the Service Book,192.7628936767578,246.9727783203125
Tahoma,False,WinAnsiEncoding,Tahoma,TrueType,False,False,Tahoma,False,400,en,11.7,0.0,Left,"[95.99856567382812, 253.27745056152344, 295.9496765136719, 265.0292053222656]",Tahoma,9.74,Body,Body,1,Whether wife / husband is employed and if,195.97412109375,259.15332794189453
